% Model:              verticalPlate.mph
% Version:            COMSOL 5.5.0.306
% Date:               Feb 6 2020, 15:21
% Dimension:          1
% Nodes:              20
% Expressions:        1
% Description:        Table graph
%                         
0                         68.35961165543773
0.035                     68.15533628499651
0.07                      67.95204506597321
0.14                      67.5482726929082
0.28                      66.75988278078017
0.56                      65.25310428678301
1.12                      62.479242596080894
2.24                      57.72997371622603
3.3600000000000003        53.64718862218916
5.6                       47.42069751178309
7.84                      42.62053806909836
10.08                     38.882122099828905
13.58                     34.212018063466985
17.08                     30.94472395068925
20.58                     28.706617445509494
24.08                     27.177344620920508
27.58                     26.12549101547137
31.08                     25.39436438670498
34.58                     24.880192497687176
38.08                     24.514415782749722
